income,age,childrenhome,wine_products,fruit_products,meat_products,fish_products,sweet_products,gold_products,total_products,deal_purchases,web_purchases,catalog_purchases,store_purchases,total_purchases,web_visits_permonth,marital_status_Single,education_Higher Education,Cluster
46344.0,70,2,11,1,6,2,1,6,27,2,1,1,2,4,5,True,False,0
71613.0,59,0,426,49,127,111,21,42,776,1,8,2,10,20,4,False,False,2
26646.0,40,1,11,4,20,10,3,5,53,2,2,0,4,6,6,False,False,0
58293.0,43,1,173,43,118,46,27,15,422,5,5,3,6,14,5,False,True,1
62513.0,57,1,520,42,98,0,42,14,716,2,6,4,10,20,6,False,True,1
55635.0,53,1,235,65,164,50,49,27,590,4,7,3,7,17,6,True,False,2
33454.0,39,1,76,10,56,3,1,23,169,2,4,0,4,8,8,False,True,0
52028.5,41,1,5,5,6,0,2,1,19,1,1,0,2,3,7,False,False,0
7500.0,48,0,6,16,11,11,1,16,61,1,2,0,3,5,8,False,False,0
59354.0,72,2,233,2,53,3,5,14,310,3,6,1,5,12,6,True,True,1
17323.0,37,0,3,14,17,6,1,5,46,1,1,0,3,4,8,False,False,0
82800.0,78,0,1006,22,115,59,68,45,1315,1,7,6,12,25,3,True,True,2
41850.0,44,2,53,5,19,2,13,4,96,3,3,0,3,6,8,False,False,0
37760.0,78,0,84,5,38,150,12,28,317,2,4,1,6,11,7,False,False,1
33812.0,39,1,4,17,19,30,24,39,133,2,2,1,3,6,6,True,True,0
37040.0,42,0,86,2,73,69,38,48,316,1,4,2,5,11,8,False,False,0
58607.0,75,1,867,0,86,0,0,19,972,3,2,3,9,14,8,False,True,1
65324.0,70,1,384,0,102,21,32,5,544,3,6,2,9,17,4,False,True,1
18589.0,55,0,6,4,25,15,12,13,75,2,2,1,3,6,7,True,False,0
53359.0,48,2,173,4,30,3,6,41,257,4,5,1,4,10,7,False,False,1
38360.0,35,1,36,2,42,20,21,10,131,2,2,1,4,7,3,False,False,0
10979.0,35,0,8,4,10,2,2,4,30,2,3,0,3,6,5,True,True,0
38620.0,61,0,112,17,44,34,22,89,318,1,2,5,3,10,3,False,True,1
40548.0,54,1,110,0,5,2,0,3,120,2,2,1,4,7,5,False,False,0
46610.0,72,2,96,12,96,33,22,43,302,6,4,1,6,11,6,True,True,1
68657.0,78,0,482,34,471,119,68,22,1196,1,3,5,9,17,7,False,True,2
49389.0,73,2,40,0,19,2,1,3,65,1,2,0,3,5,7,True,True,0
67353.0,54,1,702,17,151,0,8,35,913,5,5,6,12,23,2,False,True,1
23718.0,48,1,6,3,14,15,7,36,81,3,3,1,2,6,7,False,True,0
42429.0,51,1,55,0,6,2,0,4,67,2,1,1,3,5,5,True,False,0
48948.0,81,0,437,8,206,160,49,42,902,2,7,10,5,22,6,True,True,2
20559.0,39,1,13,1,29,3,0,7,53,2,2,0,3,5,8,False,True,0
21994.0,67,1,9,0,6,3,1,3,22,1,0,0,3,3,5,False,False,0
55212.0,65,0,81,11,50,3,2,39,186,1,1,3,4,8,2,True,True,0
7500.0,49,1,3,1,10,3,2,12,31,3,2,0,3,5,5,False,True,0
52028.5,73,3,48,5,48,6,10,7,124,3,2,1,4,7,6,True,False,0
72550.0,70,2,826,50,317,50,38,38,1319,9,5,2,12,19,8,False,True,1
65486.0,67,1,245,19,125,37,67,14,507,1,4,2,10,16,2,True,False,2
35790.0,47,1,12,6,20,30,1,3,72,2,2,0,3,5,7,True,False,0
27938.0,36,1,13,0,8,2,1,5,29,1,1,0,4,5,3,True,False,0
52028.5,42,1,11,3,22,2,2,6,46,2,2,0,3,5,6,True,False,0
55954.0,56,1,447,0,28,0,0,43,518,3,8,2,6,16,7,False,True,1
66653.0,49,2,452,18,102,16,18,6,612,4,4,2,12,18,3,False,False,1
67680.0,73,1,546,0,48,0,6,6,606,1,7,3,8,18,5,True,True,1
25721.0,53,1,1,3,6,3,6,15,34,1,1,1,2,4,7,False,False,0
32474.0,57,2,10,0,1,0,0,0,11,1,1,0,2,3,7,False,False,0
88194.0,45,1,688,14,309,201,24,38,1274,1,11,10,10,31,5,True,True,2
74854.0,54,3,856,59,487,58,29,73,1562,7,2,5,5,12,5,False,False,2
66991.0,70,0,496,36,460,189,60,12,1253,3,4,8,6,18,3,False,True,2
46805.0,51,1,25,3,43,17,4,17,109,3,3,0,3,6,8,False,True,0
65031.0,65,1,258,107,291,84,37,86,863,4,10,3,13,26,7,False,False,2
60631.0,49,2,565,6,65,0,6,19,661,5,9,2,8,19,7,False,True,1
28332.0,72,0,14,10,13,4,15,9,65,1,2,1,4,7,2,False,False,0
40246.0,47,1,2,1,6,2,1,1,13,1,1,0,2,3,6,True,False,0
26326.0,48,0,1,0,5,0,3,9,18,1,0,0,3,3,3,False,True,0
56046.0,59,0,577,0,64,0,0,51,692,2,10,1,8,19,8,False,False,1
29760.0,39,1,64,4,68,7,5,17,165,4,3,1,4,8,8,True,False,0
26304.0,55,1,4,1,5,2,0,4,16,1,1,0,2,3,7,False,False,0
23559.0,51,1,25,5,19,7,0,23,79,3,3,0,3,6,7,False,True,0
38620.0,61,0,112,17,44,34,22,89,318,1,2,5,3,10,3,False,True,1
81361.0,37,0,163,23,424,27,65,76,778,1,3,10,13,26,1,True,False,2
29440.0,64,2,17,8,14,10,4,3,56,2,1,0,4,5,7,False,False,0
36138.0,54,2,130,0,16,0,0,5,151,5,3,1,4,8,7,False,True,0
50388.0,67,1,292,6,37,0,3,34,372,4,6,1,6,13,7,True,False,1
54178.0,57,1,135,9,39,4,0,7,194,1,2,2,5,9,2,False,False,0
52028.5,67,2,7,0,8,2,0,1,18,1,1,0,2,3,7,True,False,0
50943.0,51,0,445,37,359,98,28,18,985,1,2,4,8,14,1,False,True,2
42394.0,52,1,15,2,10,0,1,4,32,1,1,0,3,4,7,True,True,0
23626.0,54,1,27,2,14,0,0,0,43,3,3,1,3,7,5,False,True,0
30096.0,41,1,5,3,11,12,5,9,45,1,2,0,3,5,6,False,False,0
47916.0,64,1,505,0,26,0,0,75,606,5,7,4,6,17,6,True,False,1
51813.0,52,2,51,2,7,0,1,2,63,2,2,0,3,5,7,True,False,0
50150.0,41,0,135,46,92,65,61,11,410,2,5,2,7,14,5,False,True,2
47823.0,64,1,53,1,5,2,1,10,72,2,2,0,3,5,8,True,True,0
34554.0,65,1,41,1,6,2,0,5,55,2,2,0,3,5,6,True,True,0
65846.0,79,0,562,81,276,80,40,81,1120,1,6,3,6,15,4,False,True,2
24594.0,45,1,1,3,6,10,0,9,29,1,1,0,3,4,5,False,False,0
49096.0,60,2,144,1,32,2,1,7,187,4,4,1,4,9,7,False,False,0
38557.0,46,1,76,3,31,4,4,27,145,2,3,1,3,7,7,True,False,0
89058.0,64,0,454,194,106,31,22,43,850,1,5,4,4,13,2,False,True,2
77298.0,45,1,425,115,292,23,35,79,969,1,6,6,11,23,3,False,False,2
57288.0,61,1,527,0,21,0,0,60,608,3,8,1,8,17,6,False,True,1
86037.0,33,0,490,44,125,29,20,22,730,1,6,7,11,24,3,True,False,2
43974.0,44,1,378,0,101,0,0,72,551,5,6,4,6,16,7,False,True,1
50785.0,62,2,64,1,21,0,1,27,114,2,2,1,3,6,6,True,False,0
30753.0,57,2,12,5,25,0,9,30,81,2,1,1,3,5,5,False,True,0
21918.0,55,1,1,6,7,11,5,3,33,2,2,0,3,5,6,False,False,0
32557.0,57,1,34,3,29,0,4,10,80,3,2,1,3,6,5,True,True,0
19510.0,39,2,9,0,7,3,4,7,30,2,1,0,3,4,7,False,True,0
30992.0,48,1,17,0,14,7,3,2,43,1,1,0,3,4,7,True,False,0
54348.0,71,2,70,0,16,0,0,4,90,2,2,0,4,6,6,False,True,0
55212.0,63,1,352,0,27,10,0,15,404,3,6,1,7,14,6,False,True,1
77376.0,68,2,492,19,110,16,12,12,661,4,6,3,10,19,4,False,True,1
61331.0,66,2,534,5,47,0,5,41,632,5,11,1,6,18,8,True,True,1
41551.0,60,2,220,0,33,3,0,23,279,5,5,1,5,11,8,False,True,1
9548.0,48,1,0,1,3,10,6,9,29,2,1,0,3,4,8,True,False,0
33762.0,65,3,53,1,34,2,0,16,106,3,2,2,2,6,8,False,True,0
35860.0,51,2,15,0,8,4,2,20,49,2,1,1,2,4,5,True,True,0
36921.0,59,2,17,1,12,3,1,4,38,2,2,0,3,5,7,True,True,0
65104.0,48,1,738,0,232,13,20,50,1053,2,3,5,7,15,7,False,True,1
68352.0,50,1,614,16,132,43,33,33,871,3,8,5,9,22,6,True,True,1
59809.0,48,2,598,16,141,32,41,49,877,3,3,3,6,12,8,False,False,1
23957.0,49,1,2,1,18,20,11,16,68,1,2,0,3,5,6,False,False,0
38547.0,43,1,6,1,10,0,1,4,22,1,1,0,2,3,8,False,False,0
35688.0,51,3,73,3,90,12,1,32,211,7,4,1,4,9,8,False,True,1
49605.0,58,0,42,16,29,12,20,8,127,1,2,1,4,7,3,False,True,0
59354.0,71,2,295,21,78,39,13,13,459,1,4,4,7,15,3,False,True,1
65747.0,55,1,346,17,48,23,13,13,460,4,8,1,6,15,6,False,False,1
46344.0,52,1,233,20,57,8,20,91,429,4,7,1,5,13,7,False,True,1
34176.0,36,1,5,7,24,19,14,20,89,4,3,0,4,7,6,True,False,0
61010.0,72,1,888,0,57,0,0,76,1021,2,8,5,11,24,5,False,True,1
69372.0,75,0,997,26,269,34,13,42,1381,1,10,4,6,20,4,False,False,2
49967.0,66,1,212,6,69,4,12,3,306,3,6,1,5,12,7,True,False,1
60199.0,46,3,8,1,7,2,0,0,18,1,0,0,3,3,4,True,False,0
55375.0,47,1,42,11,57,10,28,14,162,1,1,1,6,8,2,False,False,0
30523.0,66,3,5,0,3,0,0,5,13,1,1,0,2,3,7,True,True,0
70356.0,79,0,1349,16,249,43,16,33,1706,2,10,6,9,25,6,False,True,2
23228.0,40,1,53,3,49,7,4,5,121,4,3,0,4,7,8,False,False,0
74165.0,49,0,1001,12,240,16,12,12,1293,1,5,4,10,19,2,True,True,2
43482.0,58,3,18,1,32,6,3,28,88,3,2,0,4,6,6,False,False,0
62551.0,71,0,125,16,98,134,21,27,421,1,6,7,4,17,3,True,False,2
52332.0,65,0,212,5,33,7,0,2,259,1,3,2,6,11,4,True,False,0
26091.0,67,2,15,10,19,8,17,20,89,3,2,1,3,6,5,False,False,0
33456.0,59,2,7,3,10,8,1,7,36,2,1,0,3,4,7,False,False,0
28718.0,42,1,12,4,6,11,8,16,57,2,2,0,3,5,8,False,False,0
50447.0,54,2,85,7,24,2,3,27,148,1,3,1,3,7,6,False,False,0
53537.0,65,2,81,0,6,0,0,6,93,2,2,1,3,6,5,False,True,0
52074.0,57,1,59,0,12,0,0,48,119,1,2,2,2,6,4,True,False,0
38853.0,54,2,29,0,14,0,0,2,45,2,2,0,3,5,7,False,True,0
38285.0,65,3,2,0,5,2,0,1,10,1,0,0,3,3,2,False,False,0
51650.0,48,1,152,3,22,2,5,7,191,1,4,1,4,9,5,False,True,0
16248.0,36,1,12,11,10,3,12,9,57,3,2,1,3,6,6,False,True,0
30477.0,40,1,47,1,6,0,0,12,66,1,1,1,3,5,6,False,True,0
28249.0,63,0,1,9,7,2,14,10,43,1,2,0,3,5,6,False,False,0
32303.0,54,1,35,0,2,0,0,2,39,2,1,0,4,5,5,True,True,0
45759.0,60,2,42,1,18,3,0,4,68,2,2,0,3,5,7,False,True,0
24882.0,46,1,1,4,10,29,0,36,80,1,1,1,2,4,6,False,False,0
38872.0,36,1,23,3,21,3,19,22,91,2,3,0,3,6,8,False,False,0
51148.0,51,2,235,6,45,8,9,12,315,4,5,1,6,12,6,False,False,1
31353.0,47,2,10,0,10,3,1,7,31,2,1,1,2,4,8,False,False,0
69661.0,44,0,656,16,106,32,16,8,834,1,7,3,12,22,3,False,True,2
46854.0,51,2,96,1,79,7,1,79,263,6,5,1,3,9,8,True,True,1
69142.0,72,1,448,4,34,6,4,39,535,3,8,1,7,16,5,True,False,1
40637.0,59,2,22,0,13,0,0,3,38,2,1,0,3,4,7,True,True,0
18890.0,40,0,6,4,1,7,2,15,35,1,0,1,2,3,6,True,True,0
48721.0,61,2,81,18,113,47,13,21,293,6,4,2,5,11,6,True,True,1
44794.0,58,1,54,0,7,0,0,4,65,1,2,0,3,5,6,False,False,0
46097.0,68,1,72,24,68,65,4,8,241,5,3,1,6,10,4,False,False,1
44377.0,56,2,224,0,30,0,0,10,264,8,5,1,5,11,8,False,True,1
46014.0,50,2,410,0,59,19,9,44,541,10,7,1,8,16,7,False,True,1
41443.0,47,1,171,7,171,25,19,89,482,6,8,1,5,14,8,False,False,1
52195.0,46,3,12,0,4,0,0,1,17,1,1,0,2,3,8,True,True,0
83790.0,76,0,1076,16,417,42,48,16,1615,1,8,10,6,24,3,False,True,2
44551.0,70,1,182,4,33,0,0,66,285,2,4,1,5,10,7,True,True,1
69508.0,44,1,824,32,162,42,32,43,1135,2,11,4,11,26,6,False,False,2
45204.0,36,1,30,11,25,29,1,18,114,1,1,1,4,6,3,False,True,0
77622.0,54,2,520,7,154,19,0,14,714,2,6,3,11,20,3,False,True,1
30732.0,44,1,155,1,25,0,1,3,185,4,4,1,4,9,8,False,True,0
63887.0,62,1,897,23,207,15,11,92,1245,5,9,6,12,27,6,True,False,1
42011.0,46,1,131,0,16,2,1,39,189,4,3,1,4,8,8,False,False,0
51537.0,72,1,787,20,204,0,0,92,1103,3,2,2,11,15,8,True,False,1
34320.0,38,1,4,1,9,3,0,0,17,1,1,0,2,3,8,False,True,0
37070.0,58,2,231,7,137,4,15,39,433,9,5,1,8,14,7,True,False,1
38590.0,53,1,3,1,8,4,3,3,22,1,1,0,2,3,8,False,False,0
15033.0,73,0,0,4,5,6,0,4,19,1,1,0,3,4,3,True,False,0
62745.0,59,1,562,21,464,28,10,32,1117,3,7,8,11,26,5,False,True,2
22212.0,49,1,5,9,20,6,8,21,69,2,2,0,4,6,6,False,True,0
23661.0,42,1,18,0,4,0,0,1,23,1,1,0,3,4,7,False,True,0
79761.0,66,1,415,5,124,15,35,11,605,1,5,2,11,18,3,True,True,1
7500.0,51,1,5,3,10,12,7,20,57,4,3,1,3,7,7,True,False,0
31686.0,60,2,11,0,5,0,0,1,17,2,1,0,3,4,6,False,True,0
80134.0,52,1,1218,16,272,104,0,80,1690,2,5,3,6,14,6,False,False,2
75027.0,71,1,925,64,179,133,12,77,1390,2,9,4,6,19,5,False,False,2
31160.0,49,1,16,3,25,6,1,13,64,2,2,0,3,5,8,True,True,0
29938.0,39,1,3,3,7,0,2,11,26,2,1,0,3,4,6,True,False,0
26490.0,66,0,45,47,52,21,20,25,210,2,3,1,5,9,6,False,True,0
75702.0,57,2,650,28,353,45,42,30,1148,5,4,6,11,21,8,False,False,2
30899.0,50,1,24,0,8,0,0,1,33,2,1,0,3,4,6,True,True,0
63342.0,63,1,918,21,118,13,10,21,1101,3,8,3,5,16,6,False,True,1
45989.0,60,1,138,33,87,28,24,12,322,4,3,2,7,12,3,True,False,1
18701.0,60,2,12,4,2,10,6,10,44,4,2,0,4,6,5,True,False,0
40737.0,67,3,11,0,4,0,0,2,17,1,1,0,2,3,8,True,True,0
15287.0,45,1,1,2,8,4,3,13,31,2,1,1,2,4,7,True,False,0
69674.0,56,2,554,41,215,11,0,24,845,3,10,2,10,22,5,True,True,1
44159.0,54,1,167,2,62,24,13,7,275,4,4,1,6,11,5,False,True,1
43776.0,72,2,177,2,71,3,2,20,275,6,5,2,4,11,8,False,True,1
38179.0,58,2,38,4,22,4,2,20,90,4,3,1,3,7,7,False,True,0
38097.0,54,2,77,2,35,0,1,69,184,4,3,2,2,7,7,False,True,0
22070.0,54,1,10,7,19,8,2,21,67,2,2,2,2,6,6,False,False,0
31788.0,41,1,16,7,23,0,8,6,60,3,3,0,4,7,5,True,True,0
61905.0,49,1,167,0,43,6,2,13,231,2,4,2,4,10,5,False,True,0
29315.0,64,2,13,2,14,8,7,4,48,4,2,0,4,6,6,False,False,0
33378.0,61,2,33,6,40,3,7,10,99,3,2,0,4,6,7,True,False,0
66313.0,61,1,625,7,99,10,22,7,770,2,6,3,12,21,4,False,True,1
77882.0,43,0,68,129,396,188,22,15,818,1,3,3,5,11,1,False,True,2
24480.0,43,1,4,19,9,28,25,17,102,3,3,0,4,7,7,False,False,0
37760.0,78,0,84,5,38,150,12,28,317,2,4,1,6,11,7,False,False,1
65640.0,50,1,204,7,149,20,15,66,461,1,5,1,8,14,2,False,True,1
44319.0,49,2,26,0,8,0,0,3,37,2,2,0,3,5,5,False,True,0
30631.0,50,1,15,6,20,4,5,20,70,1,3,1,2,6,7,False,False,0
35416.0,75,0,248,3,81,4,3,51,390,3,7,1,5,13,8,True,True,1
32414.0,40,0,20,6,5,0,9,12,52,1,1,0,3,4,7,False,True,0
38361.0,55,1,39,0,56,20,8,14,137,3,3,1,3,7,7,False,False,0
29672.0,59,2,9,1,3,0,4,8,25,1,0,0,3,3,6,False,False,0
55951.0,72,1,1241,0,80,0,13,40,1374,3,3,6,11,20,8,False,True,1
35388.0,36,1,6,4,7,4,3,8,32,1,1,0,3,4,7,True,True,0
42386.0,38,1,65,4,16,0,4,11,100,1,3,0,3,6,8,False,True,0
68627.0,42,0,395,15,263,60,54,38,825,1,2,3,6,11,1,True,False,2
57912.0,59,1,801,0,80,0,0,35,916,5,8,3,12,23,5,True,True,1
35246.0,66,2,36,0,12,2,2,10,62,4,3,1,3,7,5,True,False,0
58821.0,68,1,513,14,154,19,0,28,728,1,9,2,9,20,6,False,True,1
46377.0,46,1,37,0,46,4,3,0,90,1,2,1,3,6,4,False,True,0
39747.0,36,1,80,15,93,20,13,52,273,3,5,1,4,10,8,True,False,0
23976.0,40,1,14,1,21,2,3,25,66,3,3,1,3,7,7,False,False,0
77457.0,77,0,675,11,400,15,45,11,1157,1,2,5,10,17,1,True,False,2
64100.0,60,1,509,0,27,0,0,10,546,1,8,3,6,17,7,False,True,1
42670.0,32,0,154,2,46,20,4,15,241,1,4,2,4,10,4,False,True,0
12571.0,48,1,3,5,14,2,12,17,53,4,3,1,3,7,6,True,False,0
22574.0,57,3,25,0,8,2,0,2,37,2,2,0,3,5,7,False,False,0
52028.5,35,0,861,138,461,60,30,61,1611,1,6,5,12,23,3,False,False,2
54198.0,58,2,185,0,28,3,2,17,235,6,3,1,6,10,4,False,False,1
28839.0,68,2,24,0,7,0,0,1,32,2,2,0,3,5,5,False,True,0
40321.0,52,2,44,4,21,6,0,27,102,2,3,0,3,6,7,False,False,0
66503.0,39,1,91,64,128,65,3,50,401,2,4,3,6,13,3,True,False,2
30833.0,73,2,11,0,7,3,1,6,28,2,1,0,3,4,5,False,False,0
52028.5,54,3,738,20,172,52,50,20,1052,6,2,3,10,15,7,True,False,1
64795.0,53,1,412,5,119,38,29,77,680,3,3,3,12,18,2,False,False,2
34421.0,50,1,3,3,7,6,2,9,30,1,1,0,2,3,7,False,False,0
47025.0,59,2,16,0,3,0,0,1,20,1,1,0,2,3,7,True,True,0
64325.0,63,1,731,60,353,78,12,73,1307,5,10,3,5,18,7,True,True,2
40464.0,71,1,424,17,118,7,23,41,630,6,8,2,8,18,8,True,False,1
14849.0,48,1,21,2,28,3,2,9,65,3,2,0,4,6,8,True,True,0
27255.0,40,1,22,1,11,0,1,2,37,1,1,0,3,4,7,False,False,0
54432.0,74,3,33,0,5,0,0,0,38,1,1,0,3,4,4,False,True,0
29999.0,38,1,68,7,59,10,5,11,160,4,3,1,4,8,8,True,True,0
24072.0,41,1,9,1,6,3,0,4,23,1,1,0,2,3,8,True,False,0
33996.0,35,0,40,2,15,8,0,6,71,1,1,1,3,5,4,True,True,0
66334.0,68,1,909,11,218,0,0,23,1161,2,9,3,5,17,5,False,True,1
35178.0,53,1,23,1,13,2,2,18,59,1,1,1,2,4,7,False,True,0
22010.0,41,1,11,2,9,3,0,8,33,2,2,0,3,5,8,False,False,0
30675.0,52,1,10,2,16,11,2,21,62,1,1,0,3,4,8,False,False,0
41411.0,38,0,37,32,38,11,3,18,139,1,2,1,4,7,6,True,False,0
55212.0,55,1,1103,0,45,0,0,34,1182,3,4,2,11,17,8,False,True,1
59292.0,74,1,378,14,68,19,14,14,507,2,3,5,8,16,3,False,True,1
27190.0,51,1,1,6,7,0,1,3,18,1,1,0,2,3,8,False,False,0
44300.0,59,2,30,0,9,0,0,3,42,2,1,0,3,4,6,False,False,0
30372.0,53,2,15,0,12,7,3,7,44,3,2,0,3,5,7,True,False,0
33181.0,48,1,9,0,3,0,0,4,16,1,1,0,2,3,6,False,True,0
71113.0,67,1,495,33,255,11,33,8,835,4,6,7,9,22,4,False,False,2
72099.0,50,0,546,91,410,119,0,22,1188,1,3,4,10,17,1,False,False,2
60000.0,48,1,1048,0,217,0,0,12,1277,5,11,3,5,19,6,True,True,1
38643.0,46,2,22,2,14,0,1,10,49,2,2,0,3,5,7,True,False,0
50737.0,69,1,78,0,11,0,0,10,99,1,2,0,4,6,6,False,False,0
65073.0,81,0,629,17,177,69,0,8,900,1,5,3,5,13,2,False,True,2
46681.0,76,2,269,15,69,15,19,38,425,2,4,6,4,14,5,False,True,1
62187.0,55,1,512,0,83,0,0,41,636,3,6,2,10,18,4,True,True,1
28442.0,46,2,19,3,10,11,8,6,57,3,2,1,4,7,4,False,False,0
51479.0,57,2,247,8,160,6,8,65,494,7,6,3,6,15,7,False,False,1
31615.0,48,1,2,3,20,6,11,9,51,2,2,0,3,5,7,True,False,0
52614.0,49,1,789,0,142,12,9,38,990,2,2,4,8,14,8,True,True,1
35684.0,40,1,10,4,7,0,6,3,30,1,1,0,3,4,6,False,True,0
48178.0,49,2,159,4,45,6,2,38,254,6,5,1,4,10,8,False,False,1
29548.0,54,1,7,1,6,3,1,11,29,1,1,1,2,4,4,True,True,0
38578.0,52,2,38,4,22,3,3,3,73,3,3,0,3,6,8,True,True,0
46098.0,49,2,57,0,27,0,0,36,120,4,3,2,2,7,8,True,True,0
30279.0,35,1,10,4,14,4,4,1,37,1,1,0,3,4,8,True,False,0
30822.0,55,1,3,9,13,2,12,12,51,1,1,0,3,4,7,True,False,0
33581.0,55,2,11,0,5,0,0,1,17,1,1,0,2,3,8,False,True,0
19986.0,39,1,3,6,5,0,2,6,22,1,0,0,3,3,7,False,False,0
27421.0,70,0,43,12,96,78,40,55,324,3,4,1,6,11,7,True,False,1
35688.0,51,3,73,3,90,12,1,32,211,7,4,1,4,9,8,False,True,1
36143.0,43,1,12,0,1,0,0,6,19,1,0,1,2,3,3,True,True,0
10245.0,53,1,4,7,7,6,4,13,41,3,1,2,2,5,5,True,False,0
38823.0,75,1,70,0,11,2,8,23,114,1,2,1,3,6,6,False,False,0
83664.0,56,2,866,21,151,28,21,86,1173,3,2,2,12,16,5,True,True,1
62499.0,45,1,140,4,61,0,13,4,222,2,3,1,6,10,4,False,True,0
51012.0,78,0,102,9,63,2,9,24,209,1,4,1,4,9,6,False,True,0
70777.0,56,1,554,35,113,0,7,78,787,3,5,3,12,20,3,False,True,1
43824.0,53,2,96,1,42,12,3,32,186,4,3,1,4,8,8,False,False,0
15345.0,40,1,5,2,16,3,2,19,47,2,1,1,2,4,8,False,False,0
23442.0,37,1,2,0,6,8,6,5,27,1,1,0,3,4,7,True,False,0
14515.0,44,1,6,4,9,6,36,35,96,4,2,2,3,7,7,False,True,0
31395.0,68,2,23,1,25,0,8,7,64,4,2,1,3,6,6,True,True,0
75276.0,59,0,610,105,125,137,42,21,1040,1,9,4,9,22,5,False,False,2
42373.0,50,2,67,5,61,3,8,19,163,5,2,1,5,8,5,True,False,0
55521.0,69,3,416,0,26,0,0,4,446,9,6,3,6,15,7,True,True,1
48006.0,59,2,23,0,11,3,2,2,41,1,1,0,3,4,6,False,False,0
27213.0,52,1,19,3,26,10,9,3,70,3,2,0,4,6,8,True,True,0
65808.0,53,2,155,7,80,13,7,10,272,3,5,1,5,11,6,True,True,1
50437.0,61,2,370,9,92,6,9,4,490,3,7,1,8,16,7,False,False,1
23616.0,42,1,4,22,11,3,7,32,79,2,3,0,3,6,8,True,True,0
66465.0,69,1,1200,0,204,38,29,14,1485,3,11,9,12,32,6,False,True,2
19789.0,49,1,2,5,9,28,6,28,78,3,2,1,3,6,5,False,True,0
80134.0,30,0,966,26,282,52,26,26,1378,1,2,7,11,20,5,False,False,2
49505.0,53,2,604,0,100,19,0,28,751,9,10,2,8,20,8,False,True,1
37401.0,51,1,19,3,19,3,1,3,48,2,2,0,3,5,7,False,True,0
30096.0,41,1,5,3,11,12,5,9,45,1,2,0,3,5,6,False,False,0
18492.0,42,1,2,2,2,2,1,1,10,1,1,0,2,3,8,False,True,0
48686.0,71,3,10,0,7,2,0,1,20,1,1,0,2,3,8,False,False,0
75433.0,35,1,800,0,297,0,34,57,1188,2,2,5,10,17,6,False,False,2
10404.0,35,1,2,2,11,10,6,12,43,2,1,0,4,5,5,False,True,0
84865.0,63,0,1248,16,349,43,16,16,1688,1,2,4,9,15,4,True,True,2
30015.0,54,1,25,0,22,2,3,5,57,2,1,0,4,5,5,True,False,0
50943.0,68,1,31,0,7,2,0,6,46,1,1,0,3,4,5,False,True,0
67272.0,58,1,357,35,271,28,28,14,733,3,6,2,12,20,5,True,False,2
